product_id,warehouse_id,category,abc_class,service_level,stockout_day_rate,excess_inventory_rate,avg_days_of_supply,risk_score,risk_tier,lost_margin_value,excess_inventory_value,estimated_margin_recovery_12m,estimated_wc_release_12m,recommended_action
SKU-009,WH-MAD,Household,A,0.9597351467430207,0.046511627906976744,0.35567715458276333,13.486580027359782,53.84,Critical,34965.00000000001,0.0,19230.75,0.0,Release cash: reduce reorder-up-to level and launch markdown/transfer actions
SKU-009,WH-LIS,Household,A,0.9967774926191073,0.005471956224350205,0.5417236662106704,17.409603283173734,44.35,High,3707.4000000000005,5604.101470357156,2039.07,1681.23,Release cash: reduce reorder-up-to level and launch markdown/transfer actions
SKU-038,WH-PORTO,Snacks,B,0.8622864299132301,0.13406292749658003,0.009575923392612859,9.404391244870041,41.09,High,11946.520000000002,0.0,6570.59,0.0,Monitor: maintain policy and track variability
SKU-009,WH-PORTO,Household,A,0.8591313374383656,0.15868673050615595,0.004103967168262654,5.432749658002736,40.86,High,132556.2,0.0,72905.91,0.0,Monitor: maintain policy and track variability
SKU-040,WH-PORTO,Personal Care,B,0.8578816937829975,0.15321477428180574,0.0,8.680273597811217,39.01,High,4827.540000000002,0.0,2655.15,0.0,Monitor: maintain policy and track variability
SKU-038,WH-MAD,Snacks,B,0.9040890394386644,0.1012311901504788,0.02051983584131327,10.298632010943912,34.63,Medium,7690.160000000002,0.0,4229.59,0.0,Monitor: maintain policy and track variability
SKU-004,WH-MAD,Personal Care,A,0.9098638194804873,0.09986320109439124,0.03556771545827633,10.99109439124487,33.61,Medium,6528.13,0.0,3590.47,0.0,Monitor: maintain policy and track variability
SKU-014,WH-LIS,Snacks,A,0.8709042218021424,0.14500683994528044,0.0,6.021381668946648,33.22,Medium,136397.58000000002,0.0,75018.67,0.0,Monitor: maintain policy and track variability
SKU-040,WH-LIS,Personal Care,B,0.8918559302592338,0.11627906976744186,0.0027359781121751026,8.457633378932968,32.67,Medium,4313.310000000001,0.0,2372.32,0.0,Monitor: maintain policy and track variability
SKU-013,WH-PORTO,Beverages,A,1.0,0.0,0.4487004103967168,18.276484268125856,31.22,Medium,0.0,0.0,0.0,0.0,Release cash: reduce reorder-up-to level and launch markdown/transfer actions
SKU-057,WH-PORTO,Household,C,0.9964901084875558,0.0027359781121751026,0.280437756497948,29.51170998632011,31.12,Medium,283.90999999999997,0.0,156.15,0.0,Release cash: reduce reorder-up-to level and launch markdown/transfer actions
SKU-060,WH-MAD,Dairy,C,0.8949754438987533,0.106703146374829,0.0,14.390123119015048,30.7,Medium,20421.879999999997,0.0,11232.03,0.0,Monitor: maintain policy and track variability
SKU-030,WH-PORTO,Dairy,B,1.0,0.0,0.332421340629275,18.85058823529412,30.5,Medium,0.0,0.0,0.0,0.0,Release cash: reduce reorder-up-to level and launch markdown/transfer actions
SKU-003,WH-MAD,Household,A,1.0,0.0,0.399452804377565,15.586963064295485,30.02,Medium,0.0,0.0,0.0,0.0,Release cash: reduce reorder-up-to level and launch markdown/transfer actions
SKU-008,WH-PORTO,Snacks,A,0.8887312844759653,0.11627906976744186,0.0,7.455827633378933,29.05,Medium,47549.1,0.0,26152.0,0.0,Monitor: maintain policy and track variability
SKU-018,WH-MAD,Dairy,A,1.0,0.0,0.4021887824897401,21.314090287277704,28.67,Medium,0.0,0.0,0.0,0.0,Release cash: reduce reorder-up-to level and launch markdown/transfer actions
SKU-040,WH-MAD,Personal Care,B,0.898814135033669,0.106703146374829,0.0,7.600232558139536,28.49,Medium,3107.340000000001,0.0,1709.04,0.0,Monitor: maintain policy and track variability
SKU-052,WH-MAD,Personal Care,C,1.0,0.0,0.2612859097127223,35.12259917920657,27.1,Medium,0.0,0.0,0.0,0.0,Release cash: reduce reorder-up-to level and launch markdown/transfer actions
SKU-007,WH-MAD,Beverages,A,1.0,0.0,0.34610123119015046,13.168084815321478,26.62,Medium,0.0,0.0,0.0,0.0,Release cash: reduce reorder-up-to level and launch markdown/transfer actions
SKU-022,WH-PORTO,Personal Care,B,0.9277841521504816,0.08481532147742818,0.0,7.805909712722298,26.43,Medium,16138.289999999995,0.0,8876.06,0.0,Monitor: maintain policy and track variability
SKU-059,WH-MAD,Frozen,C,0.948045132511152,0.058823529411764705,0.0,16.130341997264022,25.02,Medium,7161.660000000001,0.0,3938.91,0.0,Monitor: maintain policy and track variability
SKU-004,WH-LIS,Personal Care,A,0.9867806418669743,0.015047879616963064,0.21203830369357046,17.034528043775648,24.55,Medium,1251.21,0.0,688.17,0.0,Monitor: maintain policy and track variability
SKU-030,WH-LIS,Dairy,B,0.9422482511794371,0.07523939808481532,0.0,7.986853625170999,24.26,Medium,108438.29999999999,0.0,59641.06,0.0,Monitor: maintain policy and track variability
SKU-001,WH-LIS,Beverages,A,1.0,0.0,0.28454172366621067,13.691491108071135,23.72,Medium,0.0,0.0,0.0,0.0,Release cash: reduce reorder-up-to level and launch markdown/transfer actions
SKU-004,WH-PORTO,Personal Care,A,0.986315741458742,0.019151846785225718,0.16415868673050615,15.674432284541725,23.6,Medium,1074.0,0.0,590.7,0.0,Monitor: maintain policy and track variability
SKU-051,WH-PORTO,Household,C,1.0,0.0,0.18878248974008208,34.583515731874144,23.34,Medium,0.0,0.0,0.0,0.0,Monitor: maintain policy and track variability
SKU-026,WH-MAD,Snacks,B,1.0,0.0,0.2448700410396717,17.931436388508892,23.13,Medium,0.0,0.0,0.0,0.0,Release cash: reduce reorder-up-to level and launch markdown/transfer actions
SKU-057,WH-MAD,Household,C,0.9687608469281499,0.03556771545827633,0.03556771545827633,20.313980848153214,22.97,Medium,2322.9,0.0,1277.6,0.0,Monitor: maintain policy and track variability
SKU-059,WH-LIS,Frozen,C,0.9785117389574214,0.023255813953488372,0.08755129958960328,25.933666210670314,22.57,Medium,3906.36,0.0,2148.5,0.0,Monitor: maintain policy and track variability
SKU-047,WH-MAD,Frozen,C,0.9398288016112789,0.06292749658002736,0.0,15.60310533515732,22.35,Medium,9882.65,0.0,5435.46,0.0,Monitor: maintain policy and track variability
SKU-013,WH-MAD,Beverages,A,0.9970825783865123,0.004103967168262654,0.2708618331053352,14.052407660738714,22.26,Medium,2496.5999999999995,0.0,1373.13,0.0,Release cash: reduce reorder-up-to level and launch markdown/transfer actions
SKU-041,WH-MAD,Frozen,B,1.0,0.0,0.26812585499316005,21.953392612859098,22.1,Medium,0.0,0.0,0.0,0.0,Release cash: reduce reorder-up-to level and launch markdown/transfer actions
SKU-059,WH-PORTO,Frozen,C,0.9650333563377042,0.03556771545827633,0.017783857729138167,21.74564979480164,21.64,Medium,5497.84,0.0,3023.81,0.0,Monitor: maintain policy and track variability
SKU-034,WH-LIS,Personal Care,B,1.0,0.0,0.2612859097127223,26.16644322845417,21.52,Medium,0.0,0.0,0.0,0.0,Release cash: reduce reorder-up-to level and launch markdown/transfer actions
SKU-015,WH-PORTO,Household,A,1.0,0.0,0.2694938440492476,15.022763337893297,21.51,Medium,0.0,0.0,0.0,0.0,Release cash: reduce reorder-up-to level and launch markdown/transfer actions
SKU-054,WH-LIS,Dairy,C,1.0,0.0,0.20109439124487005,34.98909712722298,20.99,Medium,0.0,0.0,0.0,0.0,Monitor: maintain policy and track variability
SKU-045,WH-PORTO,Household,C,1.0,0.0,0.17236662106703146,31.262421340629277,20.67,Medium,0.0,0.0,0.0,0.0,Monitor: maintain policy and track variability
SKU-053,WH-MAD,Frozen,C,1.0,0.0,0.1326949384404925,24.66515731874145,20.49,Medium,0.0,0.0,0.0,0.0,Monitor: maintain policy and track variability
SKU-050,WH-MAD,Snacks,C,0.967844582147044,0.03967168262653899,0.0,11.172216142270862,19.9,Low,2736.000000000001,0.0,1504.8,0.0,Monitor: maintain policy and track variability
SKU-037,WH-MAD,Beverages,B,0.9578459405597435,0.0560875512995896,0.0,10.576812585499315,19.61,Low,23352.0,0.0,12843.6,0.0,Monitor: maintain policy and track variability
SKU-037,WH-LIS,Beverages,B,1.0,0.0,0.2106703146374829,22.66644322845417,19.6,Low,0.0,0.0,0.0,0.0,Monitor: maintain policy and track variability
SKU-038,WH-LIS,Snacks,B,0.9661048480113108,0.03967168262653899,0.030095759233926128,10.559904240766073,19.32,Low,3534.6800000000007,0.0,1944.07,0.0,Monitor: maintain policy and track variability
SKU-020,WH-LIS,Snacks,A,1.0,0.0,0.2612859097127223,12.623816689466485,19.17,Low,0.0,0.0,0.0,0.0,Release cash: reduce reorder-up-to level and launch markdown/transfer actions
SKU-025,WH-PORTO,Beverages,B,1.0,0.0,0.15868673050615595,20.703953488372093,19.02,Low,0.0,0.0,0.0,0.0,Monitor: maintain policy and track variability
SKU-002,WH-MAD,Snacks,A,0.9469464424794979,0.07797537619699042,0.0,5.778057455540356,18.91,Low,18782.760000000002,0.0,10330.52,0.0,Monitor: maintain policy and track variability
SKU-012,WH-PORTO,Dairy,A,0.9555005266756602,0.07250341997264022,0.0,5.7226675786593715,18.84,Low,95766.15999999999,0.0,52671.39,0.0,Monitor: maintain policy and track variability
SKU-039,WH-MAD,Household,B,0.9988290398126464,0.0013679890560875513,0.1600547195622435,18.126196990424077,18.69,Low,263.76,0.0,145.07,0.0,Monitor: maintain policy and track variability
SKU-024,WH-MAD,Dairy,B,1.0,0.0,0.15868673050615595,21.390588235294118,18.41,Low,0.0,0.0,0.0,0.0,Monitor: maintain policy and track variability
SKU-031,WH-PORTO,Beverages,B,0.9470916858363457,0.06155950752393981,0.0,13.183885088919288,18.4,Low,1869.2099999999994,0.0,1028.07,0.0,Monitor: maintain policy and track variability
SKU-053,WH-LIS,Frozen,C,0.9795481887448202,0.024623803009575923,0.0,14.079986320109438,17.75,Low,4713.93,0.0,2592.66,0.0,Monitor: maintain policy and track variability
SKU-051,WH-LIS,Household,C,0.9677925039190537,0.03146374829001368,0.004103967168262654,24.159274965800275,17.73,Low,11846.92,0.0,6515.81,0.0,Monitor: maintain policy and track variability
SKU-035,WH-PORTO,Frozen,B,0.9533605887162715,0.0533515731874145,0.0,8.94701778385773,17.7,Low,6302.92,0.0,3466.61,0.0,Monitor: maintain policy and track variability
SKU-060,WH-LIS,Dairy,C,0.966692367000771,0.03967168262653899,0.0,18.75403556771546,17.42,Low,7933.679999999999,0.0,4363.52,0.0,Monitor: maintain policy and track variability
SKU-002,WH-LIS,Snacks,A,0.9987990894588733,0.0013679890560875513,0.23255813953488372,14.102982216142271,17.22,Low,543.3700000000001,0.0,298.85,0.0,Release cash: reduce reorder-up-to level and launch markdown/transfer actions
SKU-026,WH-LIS,Snacks,B,0.9634122326808712,0.04514363885088919,0.0,9.17061559507524,16.95,Low,36212.42,0.0,19916.83,0.0,Monitor: maintain policy and track variability
SKU-044,WH-MAD,Snacks,B,0.9996582948915086,0.0013679890560875513,0.20383036935704515,19.205116279069767,16.58,Low,273.06,0.0,150.18,0.0,Monitor: maintain policy and track variability
SKU-024,WH-PORTO,Dairy,B,0.9567460104239428,0.0506155950752394,0.0,10.265212038303693,16.54,Low,6874.700000000001,0.0,3781.09,0.0,Monitor: maintain policy and track variability
SKU-021,WH-PORTO,Household,B,0.9664311540120079,0.038303693570451436,0.0,11.889329685362517,16.25,Low,46076.36,0.0,25342.0,0.0,Monitor: maintain policy and track variability
SKU-029,WH-MAD,Frozen,B,1.0,0.0,0.2079343365253078,18.307742818057456,16.21,Low,0.0,0.0,0.0,0.0,Monitor: maintain policy and track variability
SKU-057,WH-LIS,Household,C,0.9892275354703101,0.013679890560875513,0.057455540355677154,21.919603283173736,16.19,Low,1058.21,0.0,582.02,0.0,Monitor: maintain policy and track variability
SKU-008,WH-LIS,Snacks,A,0.9991002196522614,0.0013679890560875513,0.17920656634746923,18.052558139534884,15.74,Low,457.97999999999996,0.0,251.89,0.0,Monitor: maintain policy and track variability
SKU-001,WH-MAD,Beverages,A,0.9691786447638604,0.04514363885088919,0.0,6.182735978112175,15.7,Low,25141.75,0.0,13827.96,0.0,Monitor: maintain policy and track variability
SKU-011,WH-MAD,Frozen,A,0.9627498921328923,0.05471956224350205,0.0,6.198714090287278,15.65,Low,33558.630000000005,0.0,18457.25,0.0,Monitor: maintain policy and track variability
SKU-005,WH-PORTO,Frozen,A,0.9997526385224275,0.0013679890560875513,0.16279069767441862,17.640560875512996,15.65,Low,42.12,0.0,23.17,0.0,Monitor: maintain policy and track variability
SKU-027,WH-PORTO,Household,B,0.975518341307815,0.03556771545827633,0.0,9.133638850889191,15.45,Low,8546.88,0.0,4700.78,0.0,Monitor: maintain policy and track variability
SKU-022,WH-LIS,Personal Care,B,0.9969099813432836,0.004103967168262654,0.09575923392612859,15.402120383036937,15.3,Low,823.6199999999998,0.0,452.99,0.0,Monitor: maintain policy and track variability
SKU-032,WH-LIS,Snacks,B,1.0,0.0,0.1600547195622435,19.276251709986322,15.14,Low,0.0,0.0,0.0,0.0,Monitor: maintain policy and track variability
