order_id,order_date,expected_delivery_date,product_id,supplier_id,warehouse_id,ordered_qty,unit_cost,expected_lead_time_days,realized_lead_time_days,received_qty,received_date,po_value
PO-0000001,2024-01-07,2024-01-14,SKU-001,SUP-02,WH-LIS,1381,19.43,5,7,1381,2024-01-14,26832.83
PO-0000002,2024-01-23,2024-01-28,SKU-001,SUP-02,WH-LIS,1373,19.43,5,5,1373,2024-01-28,26677.39
PO-0000003,2024-02-11,2024-02-16,SKU-001,SUP-02,WH-LIS,1463,19.43,5,5,1463,2024-02-16,28426.09
PO-0000004,2024-03-02,2024-03-07,SKU-001,SUP-02,WH-LIS,1377,19.43,5,5,1377,2024-03-07,26755.11
PO-0000005,2024-03-18,2024-03-23,SKU-001,SUP-02,WH-LIS,1379,19.43,5,5,1379,2024-03-23,26793.97
PO-0000006,2024-04-03,2024-04-06,SKU-001,SUP-02,WH-LIS,1390,19.43,5,3,1390,2024-04-06,27007.7
PO-0000007,2024-04-22,2024-04-28,SKU-001,SUP-02,WH-LIS,1406,19.43,5,6,1406,2024-04-28,27318.58
PO-0000008,2024-05-12,2024-05-17,SKU-001,SUP-02,WH-LIS,1374,19.43,5,5,1374,2024-05-17,26696.82
PO-0000009,2024-05-28,2024-05-30,SKU-001,SUP-02,WH-LIS,1451,19.43,5,2,1451,2024-05-30,28192.93
PO-0000010,2024-06-12,2024-06-18,SKU-001,SUP-02,WH-LIS,1388,19.43,5,6,1388,2024-06-18,26968.84
PO-0000011,2024-06-29,2024-07-02,SKU-001,SUP-02,WH-LIS,1379,19.43,5,3,1379,2024-07-02,26793.97
PO-0000012,2024-07-14,2024-07-19,SKU-001,SUP-02,WH-LIS,1380,19.43,5,5,1380,2024-07-19,26813.4
PO-0000013,2024-07-30,2024-08-02,SKU-001,SUP-02,WH-LIS,1393,19.43,5,3,1393,2024-08-02,27065.99
PO-0000014,2024-08-13,2024-08-17,SKU-001,SUP-02,WH-LIS,1428,19.43,5,4,1428,2024-08-17,27746.04
PO-0000015,2024-08-30,2024-09-05,SKU-001,SUP-02,WH-LIS,1428,19.43,5,6,1428,2024-09-05,27746.04
PO-0000016,2024-09-16,2024-09-20,SKU-001,SUP-02,WH-LIS,1392,19.43,5,4,1392,2024-09-20,27046.56
PO-0000017,2024-10-03,2024-10-10,SKU-001,SUP-02,WH-LIS,1406,19.43,5,7,1406,2024-10-10,27318.58
PO-0000018,2024-10-19,2024-10-24,SKU-001,SUP-02,WH-LIS,1392,19.43,5,5,1392,2024-10-24,27046.56
PO-0000019,2024-11-04,2024-11-09,SKU-001,SUP-02,WH-LIS,1374,19.43,5,5,1374,2024-11-09,26696.82
