product_id,abc_class,criticality_level
SKU-0001,A,High
SKU-0002,A,High
SKU-0003,A,High
SKU-0004,A,High
SKU-0005,A,High
SKU-0006,A,High
SKU-0007,A,High
SKU-0008,A,High
SKU-0009,A,High
SKU-0010,A,High
SKU-0011,A,High
SKU-0012,A,High
SKU-0013,A,High
SKU-0014,A,High
SKU-0015,A,High
SKU-0016,A,High
SKU-0017,A,High
SKU-0018,A,High
SKU-0019,A,High
SKU-0020,A,High
SKU-0021,A,High
SKU-0022,A,High
SKU-0023,A,High
SKU-0024,A,High
SKU-0025,B,Medium
SKU-0026,B,Medium
SKU-0027,B,Medium
SKU-0028,B,Medium
SKU-0029,B,High
SKU-0030,B,High
SKU-0031,B,Medium
SKU-0032,B,High
SKU-0033,B,Medium
SKU-0034,B,Medium
SKU-0035,B,Medium
SKU-0036,B,Medium
SKU-0037,B,High
SKU-0038,B,High
SKU-0039,B,Medium
SKU-0040,B,High
SKU-0041,B,Medium
SKU-0042,B,Medium
SKU-0043,B,Medium
SKU-0044,B,Medium
SKU-0045,B,High
SKU-0046,B,High
SKU-0047,B,Medium
SKU-0048,B,High
SKU-0049,B,Medium
SKU-0050,B,Medium
SKU-0051,B,Medium
SKU-0052,B,Medium
SKU-0053,B,High
SKU-0054,B,High
SKU-0055,B,Medium
SKU-0056,B,High
SKU-0057,B,Medium
SKU-0058,B,Medium
SKU-0059,B,Medium
SKU-0060,B,Medium
SKU-0061,C,High
SKU-0062,C,High
SKU-0063,C,Low
SKU-0064,C,High
SKU-0065,C,Low
SKU-0066,C,Low
SKU-0067,C,Low
SKU-0068,C,Low
SKU-0069,C,High
SKU-0070,C,High
SKU-0071,C,Low
SKU-0072,C,High
SKU-0073,C,Low
SKU-0074,C,Low
SKU-0075,C,Low
SKU-0076,C,Low
SKU-0077,C,High
SKU-0078,C,High
SKU-0079,C,Low
SKU-0080,C,High
SKU-0081,C,Low
SKU-0082,C,Low
SKU-0083,C,Low
SKU-0084,C,Low
SKU-0085,C,High
SKU-0086,C,High
SKU-0087,C,Low
SKU-0088,C,High
SKU-0089,C,Low
SKU-0090,C,Low
SKU-0091,C,Low
SKU-0092,C,Low
SKU-0093,C,High
SKU-0094,C,High
SKU-0095,C,Low
SKU-0096,C,High
SKU-0097,C,Low
SKU-0098,C,Low
SKU-0099,C,Low
SKU-0100,C,Low
SKU-0101,C,High
SKU-0102,C,High
SKU-0103,C,Low
SKU-0104,C,High
SKU-0105,C,Low
SKU-0106,C,Low
SKU-0107,C,Low
SKU-0108,C,Low
SKU-0109,C,High
SKU-0110,C,High
SKU-0111,C,Low
SKU-0112,C,High
SKU-0113,C,Low
SKU-0114,C,Low
SKU-0115,C,Low
SKU-0116,C,Low
SKU-0117,C,High
SKU-0118,C,High
SKU-0119,C,Low
SKU-0120,C,High
