po_id,supplier_id,product_id,warehouse_id,order_date,expected_arrival_date,actual_arrival_date,ordered_units,received_units,late_delivery_flag
PO-00000001,SUP-007,SKU-0001,WH-LIS,2024-01-11,2024-01-24,2024-01-26,891,891,1
PO-00000002,SUP-007,SKU-0001,WH-LIS,2024-01-22,2024-02-04,2024-02-05,930,916,1
PO-00000003,SUP-007,SKU-0001,WH-LIS,2024-02-03,2024-02-16,2024-02-18,918,910,1
PO-00000004,SUP-007,SKU-0001,WH-LIS,2024-02-12,2024-02-25,2024-02-26,876,849,1
PO-00000005,SUP-007,SKU-0001,WH-LIS,2024-02-23,2024-03-07,2024-03-10,895,877,1
PO-00000006,SUP-007,SKU-0001,WH-LIS,2024-03-04,2024-03-17,2024-03-21,868,844,1
PO-00000007,SUP-007,SKU-0001,WH-LIS,2024-03-14,2024-03-27,2024-03-26,951,932,0
PO-00000008,SUP-007,SKU-0001,WH-LIS,2024-03-26,2024-04-08,2024-04-04,912,901,0
PO-00000009,SUP-007,SKU-0001,WH-LIS,2024-04-04,2024-04-17,2024-04-16,870,840,0
PO-00000010,SUP-007,SKU-0001,WH-LIS,2024-04-13,2024-04-26,2024-04-28,884,850,1
PO-00000011,SUP-007,SKU-0001,WH-LIS,2024-04-23,2024-05-06,2024-05-08,910,895,1
PO-00000012,SUP-007,SKU-0001,WH-LIS,2024-05-03,2024-05-16,2024-05-17,937,898,1
PO-00000013,SUP-007,SKU-0001,WH-LIS,2024-05-14,2024-05-27,2024-05-28,948,930,1
PO-00000014,SUP-007,SKU-0001,WH-LIS,2024-05-24,2024-06-06,2024-06-08,908,898,1
PO-00000015,SUP-007,SKU-0001,WH-LIS,2024-06-03,2024-06-16,2024-06-15,911,879,0
PO-00000016,SUP-007,SKU-0001,WH-LIS,2024-06-13,2024-06-26,2024-06-24,913,890,0
PO-00000017,SUP-007,SKU-0001,WH-LIS,2024-06-22,2024-07-05,2024-07-07,884,838,1
PO-00000018,SUP-007,SKU-0001,WH-LIS,2024-07-01,2024-07-14,2024-07-09,917,907,0
PO-00000019,SUP-007,SKU-0001,WH-LIS,2024-07-11,2024-07-24,2024-07-20,915,873,0
PO-00000020,SUP-007,SKU-0001,WH-LIS,2024-07-19,2024-08-01,2024-07-30,869,840,0
PO-00000021,SUP-007,SKU-0001,WH-LIS,2024-07-28,2024-08-10,2024-08-13,864,849,1
PO-00000022,SUP-007,SKU-0001,WH-LIS,2024-08-07,2024-08-20,2024-08-16,968,953,0
PO-00000023,SUP-007,SKU-0001,WH-LIS,2024-08-18,2024-08-31,2024-08-30,929,929,0
PO-00000024,SUP-007,SKU-0001,WH-LIS,2024-08-28,2024-09-10,2024-09-09,957,927,0
PO-00000025,SUP-007,SKU-0001,WH-LIS,2024-09-06,2024-09-19,2024-09-18,879,853,0
