product_id,category,avg_inventory_value,value_rank,rank_percentile,cumulative_inventory_value,total_inventory_value,cumulative_value_share
SKU-0004,Household,51902.821716826176,1,0.008333333333333333,51902.821716826176,1020481.4325820785,0.05086111325465157
SKU-0056,Health,38658.710995211964,2,0.016666666666666666,90561.53271203814,1020481.4325820785,0.08874392989482852
SKU-0024,Health,31671.929514363877,3,0.025,122233.46222640201,1020481.4325820785,0.11978019229327883
SKU-0011,Personal Care,31300.32933652524,4,0.03333333333333333,153533.79156292725,1020481.4325820785,0.15045231266427608
SKU-0036,Household,30950.67130300953,5,0.041666666666666664,184484.46286593677,1020481.4325820785,0.18078179276534606
SKU-0048,Health,26619.02058139539,6,0.05,211103.48344733217,1020481.4325820785,0.2068665599463054
SKU-0080,Health,26453.090396716787,7,0.058333333333333334,237556.57384404895,1020481.4325820785,0.23278872722159205
SKU-0008,Health,26420.459124486948,8,0.06666666666666667,263977.0329685359,1020481.4325820785,0.2586789181461211
SKU-0020,Household,26010.896511627918,9,0.075,289987.92948016385,1020481.4325820785,0.2841677665280204
SKU-0040,Health,25887.20371067033,10,0.08333333333333333,315875.1331908342,1020481.4325820785,0.30953540466835294
SKU-0031,Pet Care,23330.526894664865,11,0.09166666666666666,339205.66008549905,1020481.4325820785,0.33239767942393833
SKU-0009,Beverages,22095.398283173763,12,0.1,361301.0583686728,1020481.4325820785,0.35404961504736926
SKU-0016,Health,20274.370547195602,13,0.10833333333333334,381575.4289158684,1020481.4325820785,0.3739170716221511
SKU-0095,Pet Care,17117.431915184712,14,0.11666666666666667,398692.8608310531,1020481.4325820785,0.39069095046860225
SKU-0088,Health,16602.1298084815,15,0.125,415294.9906395346,1020481.4325820785,0.4069598695085831
SKU-0047,Pet Care,15974.276836525285,16,0.13333333333333333,431269.2674760599,1020481.4325820785,0.42261353681353964
SKU-0017,Beverages,15331.71176470588,17,0.14166666666666666,446600.9792407658,1020481.4325820785,0.4376375355607905
SKU-0003,Personal Care,14740.219124487025,18,0.15,461341.1983652528,1020481.4325820785,0.45208191313970486
