product_id,warehouse_id,region,category,units_demanded,units_lost_sales,stockout_rate,lost_sales_revenue
SKU-0016,WH-MAD,Spain Central,Health,65941.0,23398.0,0.35483235013117786,2420289.1199999996
SKU-0016,WH-PORTO,Portugal North,Health,59763.0,19153.0,0.32048257282934256,1981186.3199999991
SKU-0016,WH-LYON,France South-East,Health,54537.0,18922.0,0.3469571116856446,1957291.680000001
SKU-0016,WH-LIS,Portugal South,Health,72961.0,17796.0,0.24391113060402134,1840818.2400000002
SKU-0008,WH-MAD,Spain Central,Health,63518.0,9203.0,0.14488806322617212,938429.9099999998
SKU-0008,WH-LYON,France South-East,Health,50103.0,8592.0,0.1714867373211185,876126.24
SKU-0008,WH-PORTO,Portugal North,Health,60458.0,6255.0,0.10346025339905389,637822.3499999999
SKU-0048,WH-MAD,Spain Central,Health,50375.0,10245.0,0.20337468982630272,623920.4999999998
SKU-0003,WH-MAD,Spain Central,Personal Care,56159.0,12612.0,0.22457664844459482,573089.2800000003
SKU-0031,WH-LYON,France South-East,Pet Care,36877.0,9115.0,0.24717303468286467,554283.1500000001
SKU-0003,WH-PORTO,Portugal North,Personal Care,51976.0,11373.0,0.2188125288594736,516789.12
SKU-0055,WH-MAD,Spain Central,Pet Care,25137.0,7827.0,0.31137367227592794,512668.5
SKU-0031,WH-MAD,Spain Central,Pet Care,47888.0,8010.0,0.1672652856665553,487088.10000000003
SKU-0003,WH-LYON,France South-East,Personal Care,51571.0,10677.0,0.20703496150937542,485162.88
SKU-0048,WH-PORTO,Portugal North,Health,49048.0,7017.0,0.14306393736747675,427335.3
SKU-0031,WH-PORTO,Portugal North,Pet Care,39044.0,6939.0,0.17772256940887204,421960.59000000014
SKU-0031,WH-LIS,Portugal South,Pet Care,47006.0,6836.0,0.14542824320299536,415697.1600000001
SKU-0047,WH-MAD,Spain Central,Pet Care,51322.0,11890.0,0.23167452554460075,413653.1
SKU-0048,WH-LYON,France South-East,Health,36328.0,6708.0,0.18465095793878,408517.19999999995
SKU-0024,WH-LYON,France South-East,Health,61808.0,8539.0,0.138153637069635,407481.0800000002
SKU-0008,WH-LIS,Portugal South,Health,71610.0,3994.0,0.05577433319368803,407268.1800000001
SKU-0047,WH-LYON,France South-East,Pet Care,47598.0,11639.0,0.24452708096978865,404920.81
SKU-0055,WH-LYON,France South-East,Pet Care,18911.0,6076.0,0.32129448469144944,397978.0
SKU-0007,WH-MAD,Spain Central,Pet Care,70658.0,9376.0,0.13269551926179626,395385.92000000004
SKU-0047,WH-PORTO,Portugal North,Pet Care,52490.0,10167.0,0.19369403695942083,353709.9300000001
SKU-0024,WH-MAD,Spain Central,Health,84079.0,7166.0,0.08522936761854923,341961.51999999984
SKU-0048,WH-LIS,Portugal South,Health,56193.0,5330.0,0.09485167191643087,324596.99999999994
SKU-0012,WH-MAD,Spain Central,Household,84059.0,17287.0,0.2056531721766854,320500.97999999986
SKU-0023,WH-MAD,Spain Central,Pet Care,43227.0,8518.0,0.1970527679459597,320361.98000000004
SKU-0007,WH-LYON,France South-East,Pet Care,49401.0,7166.0,0.14505779235238153,302190.2199999999
SKU-0055,WH-PORTO,Portugal North,Pet Care,20471.0,4561.0,0.2228029895950369,298745.5
SKU-0007,WH-LIS,Portugal South,Pet Care,79812.0,6677.0,0.08365909888237358,281569.09
SKU-0003,WH-LIS,Portugal South,Personal Care,65257.0,6036.0,0.09249582420276752,274275.83999999997
SKU-0055,WH-LIS,Portugal South,Pet Care,24317.0,4091.0,0.1682362133486861,267960.5
SKU-0007,WH-PORTO,Portugal North,Pet Care,56876.0,6216.0,0.10929038610310149,262128.72
SKU-0012,WH-LYON,France South-East,Household,64152.0,13748.0,0.21430352911834394,254887.92000000004
SKU-0047,WH-LIS,Portugal South,Pet Care,57063.0,6556.0,0.11489055955698088,228083.2400000001
SKU-0012,WH-PORTO,Portugal North,Household,76826.0,11499.0,0.1496758909744097,213191.46
SKU-0037,WH-MAD,Spain Central,Frozen,50333.0,8945.0,0.17771640871793853,203319.85000000003
SKU-0037,WH-LYON,France South-East,Frozen,39557.0,8642.0,0.21846955026923173,196432.66
SKU-0037,WH-LIS,Portugal South,Frozen,59052.0,8352.0,0.1414346677504572,189840.96000000002
SKU-0023,WH-LYON,France South-East,Pet Care,34549.0,4966.0,0.1437378795334163,186771.25999999992
SKU-0012,WH-LIS,Portugal South,Household,81225.0,9808.0,0.12075100030778702,181840.32000000007
SKU-0023,WH-PORTO,Portugal North,Pet Care,38567.0,4759.0,0.1233956491300853,178985.98999999993
SKU-0018,WH-MAD,Spain Central,Snacks,73755.0,8489.0,0.11509728154023456,173345.37999999998
SKU-0029,WH-LYON,France South-East,Frozen,33009.0,6953.0,0.21063952255445484,170000.85000000003
SKU-0037,WH-PORTO,Portugal North,Frozen,44097.0,7469.0,0.16937660158287413,169770.37
SKU-0040,WH-MAD,Spain Central,Health,48992.0,2844.0,0.058050293925538864,168734.52
SKU-0060,WH-MAD,Spain Central,Household,41965.0,12295.0,0.2929822471106875,162662.85000000003
SKU-0060,WH-LYON,France South-East,Household,40391.0,11846.0,0.2932831571389666,156722.57999999996
