level,segment,units_demanded,units_lost_sales,stockout_rate,lost_sales_revenue
category,Health,1573660.0,174224.0,0.11071260628089931,14800054.680000002
region,Spain Central,3398585.0,313452.0,0.09223014872365999,11048379.84
warehouse,WH-MAD,3398585.0,313452.0,0.09223014872365999,11048379.84
region,France South-East,2743607.0,277649.0,0.10119853171390801,9493607.559999997
warehouse,WH-LYON,2743607.0,277649.0,0.10119853171390801,9493607.559999995
region,Portugal North,3089046.0,226428.0,0.07330030048111941,7795519.380000004
warehouse,WH-PORTO,3089046.0,226428.0,0.07330030048111941,7795519.380000003
category,Pet Care,1649202.0,166970.0,0.10124290414394356,7377674.189999998
warehouse,WH-LIS,3753587.0,186309.0,0.04963492254209107,6442201.170000007
region,Portugal South,3753587.0,186309.0,0.04963492254209107,6442201.170000006
category,Personal Care,1471369.0,87086.0,0.059187056408011855,3132455.069999997
category,Frozen,1736472.0,177729.0,0.102350628170221,2813398.7699999996
category,Household,1626925.0,120755.0,0.07422284370822256,2463222.76
category,Snacks,1659915.0,115097.0,0.06933909266438341,1890877.439999998
category,Beverages,1573439.0,73373.0,0.04663224948663405,1157354.6099999987
category,Dairy,1693843.0,88604.0,0.052309452528953394,1144670.429999999
