alert_id,alert_date,entity_type,entity_id,region,metric_name,metric_value,baseline_mean,baseline_std,z_score,severity,diagnosis,recommended_action
ALT-00001,2025-12-30,supplier,SUP-011,Global,avg_delay_days,2.25,0.5372648185148186,0.2247716654205671,7.619889180784895,Critical,Supplier delay-duration spike vs 8-week baseline,investigate supplier reliability and trigger corrective plan
ALT-00002,2025-12-30,warehouse,WH-MAD,Spain Central,lost_sales_revenue,51337.31,27756.19321428571,8314.456010255984,2.836158704385072,Medium,Warehouse lost-sales spike vs 4-week baseline,review demand shock and recover priority SKUs
ALT-00003,2025-12-30,supplier,SUP-009,Global,late_rate,0.6666666666666666,0.3290064102564103,0.1515595293177625,2.227905153375817,Medium,Supplier late-delivery spike vs 8-week baseline,investigate supplier reliability and trigger corrective plan
ALT-00004,2025-12-26,warehouse,WH-LIS,Portugal South,lost_sales_revenue,35398.44,12828.349285714286,7313.070267931969,3.086267448195628,High,Warehouse lost-sales spike vs 4-week baseline,review demand shock and recover priority SKUs
ALT-00005,2025-12-25,warehouse,WH-LIS,Portugal South,lost_sales_revenue,39225.43,12196.0675,5482.493213099191,4.930122382170832,Critical,Warehouse lost-sales spike vs 4-week baseline,review demand shock and recover priority SKUs
ALT-00006,2025-12-23,supplier,SUP-002,Global,avg_delay_days,7.636363636363637,4.503993055555555,1.3090201070256478,2.3929125030213982,Medium,Supplier delay-duration spike vs 8-week baseline,investigate supplier reliability and trigger corrective plan
ALT-00007,2025-12-18,warehouse,WH-MAD,Spain Central,lost_sales_revenue,43137.25,20330.807142857146,9095.07451914368,2.5075597576621207,Medium,Warehouse lost-sales spike vs 4-week baseline,review demand shock and recover priority SKUs
ALT-00008,2025-12-17,warehouse,WH-MAD,Spain Central,lost_sales_revenue,40331.6,19514.56607142857,8216.759396746667,2.5334846651118563,Medium,Warehouse lost-sales spike vs 4-week baseline,review demand shock and recover priority SKUs
ALT-00009,2025-12-16,supplier,SUP-006,Global,avg_delay_days,4.0,1.3819444444444444,0.6175258564801324,4.239588558248145,Critical,Supplier delay-duration spike vs 8-week baseline,investigate supplier reliability and trigger corrective plan
ALT-00010,2025-12-13,warehouse,WH-LYON,France South-East,stockout_rate,0.2425542655224634,0.1202208716602462,0.03694614993962498,3.3111269797293237,High,Warehouse stockout spike vs 4-week baseline,expedite replenishment and rebalance stock across warehouses
