month,region,warehouse_id,product_id,category,supplier_id,abc_class,units_demanded,units_fulfilled,units_lost_sales,lost_sales_revenue,inventory_value,avg_days_of_supply,excess_inventory_proxy,slow_moving_proxy,trapped_wc_proxy,lost_sales_margin_proxy,observation_days,stockout_month_flag
2024-01-01,France South-East,WH-LYON,SKU-0001,Beverages,SUP-007,A,1851,1774,77,727.65,63664.1,6.53,0.0,0.0,0.0,372.68,31,1
2024-01-01,France South-East,WH-LYON,SKU-0002,Snacks,SUP-012,A,1844,1844,0,0.0,195761.28,8.98,0.0,0.0,0.0,0.0,31,0
2024-01-01,France South-East,WH-LYON,SKU-0003,Personal Care,SUP-002,A,1919,1919,0,0.0,544929.58,10.06,2816.8,0.0,2816.8,0.0,31,0
2024-01-01,France South-East,WH-LYON,SKU-0004,Household,SUP-006,A,2255,2255,0,0.0,2014261.2,34.23,837052.06,0.0,837052.06,0.0,31,0
2024-01-01,France South-East,WH-LYON,SKU-0005,Frozen,SUP-003,A,1453,1453,0,0.0,98167.72,13.54,7575.06,0.0,7575.06,0.0,31,0
2024-01-01,France South-East,WH-LYON,SKU-0006,Dairy,SUP-007,A,2082,1918,164,1813.84,171460.98,9.05,657.83,0.0,657.83,465.76,31,1
2024-01-01,France South-East,WH-LYON,SKU-0007,Pet Care,SUP-005,A,1840,1807,33,1391.61,370422.45,7.65,0.0,0.0,0.0,598.62,31,1
2024-01-01,France South-East,WH-LYON,SKU-0008,Health,SUP-004,A,1811,1751,60,6118.2,892157.76,8.72,0.0,0.0,0.0,3185.4,31,1
2024-01-01,France South-East,WH-LYON,SKU-0009,Beverages,SUP-005,A,2108,2108,0,0.0,731527.11,20.51,84269.6,0.0,84269.6,0.0,31,0
2024-01-01,France South-East,WH-LYON,SKU-0010,Snacks,SUP-001,A,2199,2199,0,0.0,319955.77,21.04,35570.68,0.0,35570.68,0.0,31,0
2024-01-01,France South-East,WH-LYON,SKU-0011,Personal Care,SUP-010,A,1525,1525,0,0.0,1060930.17,32.6,412434.45,0.0,412434.45,0.0,31,0
2024-01-01,France South-East,WH-LYON,SKU-0012,Household,SUP-003,A,2479,2007,472,8750.88,228799.48,9.09,3764.5,0.0,3764.5,4238.56,31,1
2024-01-01,France South-East,WH-LYON,SKU-0013,Frozen,SUP-001,A,1671,1671,0,0.0,181689.75,13.71,2336.84,0.0,2336.84,0.0,31,0
2024-01-01,France South-East,WH-LYON,SKU-0014,Dairy,SUP-009,A,2363,2363,0,0.0,258240.3,12.16,380.86,0.0,380.86,0.0,31,0
2024-01-01,France South-East,WH-LYON,SKU-0015,Pet Care,SUP-012,A,2261,2261,0,0.0,177159.18,12.82,1419.69,0.0,1419.69,0.0,31,0
2024-01-01,France South-East,WH-LYON,SKU-0016,Health,SUP-002,A,2130,2130,0,0.0,1373833.8,11.31,0.0,0.0,0.0,0.0,31,0
2024-01-01,France South-East,WH-LYON,SKU-0017,Beverages,SUP-008,A,2189,2189,0,0.0,549706.41,14.45,14980.98,0.0,14980.98,0.0,31,0
2024-01-01,France South-East,WH-LYON,SKU-0018,Snacks,SUP-004,A,2074,1856,218,4451.56,134911.8,6.2,0.0,0.0,0.0,2417.62,31,1
2024-01-01,France South-East,WH-LYON,SKU-0019,Personal Care,SUP-012,A,1804,1804,0,0.0,147601.44,9.38,0.0,0.0,0.0,0.0,31,0
