product_id,warehouse_id,supplier_id,service_risk_score,stockout_risk_score,excess_inventory_score,supplier_risk_score,working_capital_risk_score,governance_priority_score,risk_tier,main_risk_driver,recommended_action
SKU-0016,WH-LIS,SUP-002,98.7791,98.7791,7.5807,96.0268,9.4759,63.9487,High,Service Risk,review reorder point and raise safety stock
SKU-0016,WH-MAD,SUP-002,99.5879,99.5879,6.2925,96.0268,7.8657,63.7862,High,Service Risk,review reorder point and raise safety stock
SKU-0016,WH-PORTO,SUP-002,98.9963,98.9963,6.8724,96.0268,8.5904,63.7546,High,Service Risk,review reorder point and raise safety stock
SKU-0016,WH-LYON,SUP-002,98.9604,98.9604,5.8302,96.0268,7.2878,63.3056,High,Service Risk,review reorder point and raise safety stock
SKU-0048,WH-MAD,SUP-003,94.5837,95.5813,7.2328,98.2581,9.041,62.4509,High,Supplier Risk,investigate supplier reliability and qualify backup source
SKU-0003,WH-MAD,SUP-002,95.3302,95.3302,4.768,96.0268,5.96,61.1949,High,Supplier Risk,investigate supplier reliability and qualify backup source
SKU-0003,WH-PORTO,SUP-002,95.0245,95.0245,4.687,96.0268,5.8588,61.0207,High,Supplier Risk,investigate supplier reliability and qualify backup source
SKU-0003,WH-LYON,SUP-002,94.8379,94.8379,4.322,96.0268,5.4025,60.7834,High,Supplier Risk,investigate supplier reliability and qualify backup source
SKU-0048,WH-LYON,SUP-003,90.6564,94.3297,6.046,98.2581,7.5575,60.7404,High,Supplier Risk,investigate supplier reliability and qualify backup source
SKU-0012,WH-MAD,SUP-003,93.4882,93.6125,2.722,98.2581,3.4025,59.8828,High,Supplier Risk,investigate supplier reliability and qualify backup source
SKU-0029,WH-LYON,SUP-002,91.7384,91.7384,7.4481,96.0268,3.4192,59.8302,High,Supplier Risk,investigate supplier reliability and qualify backup source
SKU-0012,WH-LYON,SUP-003,92.9355,92.9355,2.0171,98.2581,2.1024,59.2501,High,Supplier Risk,investigate supplier reliability and qualify backup source
SKU-0037,WH-LYON,SUP-003,92.1656,92.1656,2.5495,98.2581,3.1868,59.1755,High,Supplier Risk,investigate supplier reliability and qualify backup source
SKU-0037,WH-PORTO,SUP-003,86.1266,88.2974,9.5477,98.2581,5.7017,58.9068,High,Supplier Risk,investigate supplier reliability and qualify backup source
SKU-0031,WH-LYON,SUP-003,82.7315,95.2315,5.5355,98.2581,6.9194,58.825,High,Supplier Risk,investigate supplier reliability and qualify backup source
SKU-0037,WH-MAD,SUP-003,87.848,91.5286,4.1171,98.2581,5.1464,58.6497,High,Supplier Risk,investigate supplier reliability and qualify backup source
SKU-0077,WH-MAD,SUP-003,90.916,90.916,0.2702,98.2581,3.5799,58.1087,High,Supplier Risk,investigate supplier reliability and qualify backup source
SKU-0047,WH-MAD,SUP-003,81.8666,94.3666,4.6683,98.2581,5.8354,58.0673,High,Supplier Risk,investigate supplier reliability and qualify backup source
