table_name,check_name,severity,status,observed,expected,details
products,table_file_exists,CRITICAL,PASS,1,1,File found: /Users/miguelfidalgo/Documents/supply-chain-service-level-inventory-intelligence-system/data/raw/products.csv
products,required_columns_present,CRITICAL,PASS,0,0,All required columns must exist.
products,unique_key_duplicates,HIGH,PASS,0,0,Grain uniqueness on product_id.
products,critical_columns_nulls,HIGH,PASS,0,0,"No nulls allowed in critical fields: product_id, category, unit_cost, unit_price, supplier_id."
products,non_negative_fields,HIGH,PASS,0,0,"No negatives allowed in fields: unit_cost, unit_price, shelf_life_days, lead_time_days."
suppliers,table_file_exists,CRITICAL,PASS,1,1,File found: /Users/miguelfidalgo/Documents/supply-chain-service-level-inventory-intelligence-system/data/raw/suppliers.csv
suppliers,required_columns_present,CRITICAL,PASS,0,0,All required columns must exist.
suppliers,unique_key_duplicates,HIGH,PASS,0,0,Grain uniqueness on supplier_id.
suppliers,critical_columns_nulls,HIGH,PASS,0,0,"No nulls allowed in critical fields: supplier_id, reliability_score, average_lead_time_days."
suppliers,non_negative_fields,HIGH,PASS,0,0,"No negatives allowed in fields: reliability_score, average_lead_time_days, lead_time_variability, minimum_order_qty."
warehouses,table_file_exists,CRITICAL,PASS,1,1,File found: /Users/miguelfidalgo/Documents/supply-chain-service-level-inventory-intelligence-system/data/raw/warehouses.csv
warehouses,required_columns_present,CRITICAL,PASS,0,0,All required columns must exist.
warehouses,unique_key_duplicates,HIGH,PASS,0,0,Grain uniqueness on warehouse_id.
warehouses,critical_columns_nulls,HIGH,PASS,0,0,"No nulls allowed in critical fields: warehouse_id, region, storage_capacity_units."
warehouses,non_negative_fields,HIGH,PASS,0,0,No negatives allowed in fields: storage_capacity_units.
inventory_snapshots,table_file_exists,CRITICAL,PASS,1,1,File found: /Users/miguelfidalgo/Documents/supply-chain-service-level-inventory-intelligence-system/data/raw/inventory_snapshots.csv
inventory_snapshots,required_columns_present,CRITICAL,PASS,0,0,All required columns must exist.
inventory_snapshots,unique_key_duplicates,HIGH,PASS,0,0,"Grain uniqueness on snapshot_date, warehouse_id, product_id."
inventory_snapshots,critical_columns_nulls,HIGH,PASS,0,0,"No nulls allowed in critical fields: snapshot_date, warehouse_id, product_id, on_hand_units, inventory_value."
inventory_snapshots,non_negative_fields,HIGH,PASS,0,0,"No negatives allowed in fields: on_hand_units, on_order_units, reserved_units, available_units, inventory_value, days_of_supply."
demand_history,table_file_exists,CRITICAL,PASS,1,1,File found: /Users/miguelfidalgo/Documents/supply-chain-service-level-inventory-intelligence-system/data/raw/demand_history.csv
demand_history,required_columns_present,CRITICAL,PASS,0,0,All required columns must exist.
demand_history,unique_key_duplicates,HIGH,PASS,0,0,"Grain uniqueness on date, warehouse_id, product_id."
demand_history,critical_columns_nulls,HIGH,PASS,0,0,"No nulls allowed in critical fields: date, warehouse_id, product_id, units_demanded, units_fulfilled."
