intervention_id,intervention_rank,created_date,due_date,intervention_status,owner_function,intervention_type,product_id,product_name,warehouse_id,supplier_id,category,region,risk_tier,main_risk_driver,recommended_action,selected_scenario,governance_priority_score,target_governance_score,required_score_reduction,service_risk_score,stockout_risk_score,excess_inventory_score,supplier_risk_score,working_capital_risk_score,fill_rate,stockout_rate,lost_sales_revenue,inventory_value_sum,expected_margin_recovery_proxy,expected_wc_release_proxy,expected_value_proxy,sla_days,evidence_required
INT-00001,1,2026-04-02,2026-04-23,Open,Inventory Planning,Service Recovery,SKU-0016,Health Product 16,WH-LIS,SUP-002,Health,Portugal South,High,Service Risk,review reorder point and raise safety stock,Balanced Baseline,63.94865009921715,45.0,18.948650099217147,98.77907048817076,98.77907048817076,7.580680113046514,96.02684642340184,9.475850141308142,0.7560888693959786,0.2439111306040213,1840818.24,18317359.62,636420.1013970465,433931.3868589226,1070351.488255969,21,ROP/safety-stock update plus fill-rate improvement evidence
INT-00002,2,2026-04-02,2026-04-23,Open,Inventory Planning,Service Recovery,SKU-0016,Health Product 16,WH-MAD,SUP-002,Health,Spain Central,High,Service Risk,review reorder point and raise safety stock,Balanced Baseline,63.78615284754513,45.0,18.786152847545132,99.5879398365351,99.5879398365351,6.292542397577577,96.02684642340184,7.865677996971971,0.6451676498688221,0.3548323501311778,2420289.12,13457031.93,843610.6254435317,264621.6998908756,1108232.3253344074,21,ROP/safety-stock update plus fill-rate improvement evidence
INT-00003,3,2026-04-02,2026-04-23,Open,Inventory Planning,Service Recovery,SKU-0016,Health Product 16,WH-PORTO,SUP-002,Health,Portugal North,High,Service Risk,review reorder point and raise safety stock,Balanced Baseline,63.7546052152392,45.0,18.754605215239202,98.99626201031212,98.99626201031212,6.872359669280321,96.02684642340184,8.590449586600402,0.6795174271706574,0.3204825728293425,1981186.32,15460607.07,686455.1400908811,332033.91403268185,1018489.054123563,21,ROP/safety-stock update plus fill-rate improvement evidence
INT-00004,4,2026-04-02,2026-04-23,Open,Inventory Planning,Service Recovery,SKU-0016,Health Product 16,WH-LYON,SUP-002,Health,France South-East,High,Service Risk,review reorder point and raise safety stock,Balanced Baseline,63.30562675421826,45.0,18.30562675421826,98.96039891827458,98.96039891827458,5.830235720644959,96.02684642340184,7.287794650806198,0.6530428883143554,0.3469571116856446,1957291.68,12047260.86,677930.2790827694,219494.90813093717,897425.1872137066,21,ROP/safety-stock update plus fill-rate improvement evidence
INT-00005,5,2026-04-02,2026-04-23,Open,Inventory Planning,Service Recovery,SKU-0048,Health Product 48,WH-MAD,SUP-003,Health,Spain Central,High,Supplier Risk,investigate supplier reliability and qualify backup source,Balanced Baseline,62.45089709024439,45.0,17.45089709024439,94.58370057732238,95.581320428439,7.232828396560952,98.25809170536029,9.04103549570119,0.7966253101736973,0.2033746898263027,623920.5,16853904.69,206544.4841461864,380941.87635863695,587486.3605048234,21,ROP/safety-stock update plus fill-rate improvement evidence
INT-00006,6,2026-04-02,2026-04-23,Open,Inventory Planning,Service Recovery,SKU-0003,Personal Care Product 3,WH-MAD,SUP-002,Personal Care,Spain Central,High,Supplier Risk,investigate supplier reliability and qualify backup source,Service Protect,61.19489646057127,45.0,16.19489646057127,95.33015235981762,95.33015235981762,4.768026379062343,96.02684642340186,5.9600329738279285,0.7754233515554052,0.2245766484445948,573089.28,9342476.78,191214.40932362364,139203.67416505443,330418.0834886781,21,ROP/safety-stock update plus fill-rate improvement evidence
INT-00007,7,2026-04-02,2026-04-23,Open,Inventory Planning,Service Recovery,SKU-0003,Personal Care Product 3,WH-PORTO,SUP-002,Personal Care,Portugal North,High,Supplier Risk,investigate supplier reliability and qualify backup source,Service Protect,61.02069917342775,45.0,16.02069917342775,95.0245275075101,95.0245275075101,4.687038776454956,96.02684642340186,5.858798470568694,0.7811874711405264,0.2188125288594736,516789.12,9163104.34,171876.74682157676,134211.9542321334,306088.7010537102,21,ROP/safety-stock update plus fill-rate improvement evidence
INT-00008,8,2026-04-02,2026-04-23,Open,Inventory Planning,Service Recovery,SKU-0003,Personal Care Product 3,WH-LYON,SUP-002,Personal Care,France South-East,High,Supplier Risk,investigate supplier reliability and qualify backup source,Service Protect,60.7833588640481,45.0,15.783358864048097,94.8378829737694,94.8378829737694,4.3220175141443,96.02684642340184,5.402521892680375,0.7929650384906246,0.2070349615093754,485162.88,8396443.38,161041.37152829923,113404.92295275303,274446.29448105226,21,ROP/safety-stock update plus fill-rate improvement evidence
INT-00009,9,2026-04-02,2026-04-23,Open,Inventory Planning,Service Recovery,SKU-0048,Health Product 48,WH-LYON,SUP-003,Health,France South-East,High,Supplier Risk,investigate supplier reliability and qualify backup source,Balanced Baseline,60.740438693637095,45.0,15.740438693637095,90.65635650552387,94.32967185456596,6.046001569757126,98.25809170536029,7.557501962196407,0.8153490420612199,0.18465095793878,408517.2,12685837.08,129621.38322643438,239683.09656050985,369304.4797869442,21,ROP/safety-stock update plus fill-rate improvement evidence
INT-00010,10,2026-04-02,2026-04-23,Open,Inventory Planning,Service Recovery,SKU-0012,Household Product 12,WH-MAD,SUP-003,Household,Spain Central,High,Supplier Risk,investigate supplier reliability and qualify backup source,Service Protect,59.88282542183413,45.0,14.882825421834127,93.48816516539932,93.6125081863727,2.7219742368160524,98.25809170536029,3.402467796020065,0.7943468278233146,0.2056531721766854,320500.98,5724747.88,104870.6699386932,48695.67575508535,153566.34569377854,21,ROP/safety-stock update plus fill-rate improvement evidence
