entity_type,entity_id,entity_name,service_risk_score,stockout_risk_score,excess_inventory_score,supplier_risk_score,working_capital_risk_score,governance_priority_score,risk_tier,main_risk_driver,recommended_action,lost_sales_revenue,inventory_value_sum
supplier,SUP-003,Supplier 3,93.21783443775803,96.34928532633913,64.05208482809236,98.25809170536029,44.53535028015055,80.89786710767743,Critical,Supplier Risk,investigate supplier reliability and execute corrective action plan,8188280.42,535917347.74
supplier,SUP-002,Supplier 2,96.49242453480976,100.0,38.39152331659436,96.02684642340185,26.224662389551128,73.40789564661844,High,Stockout Risk,expedite replenishment on constrained supplier lanes,13544811.51,298596904.26
segment,Health | France South-East,Health | France South-East,91.11222505888563,89.54610076411953,51.577742328124515,69.81298991240277,41.898389980339864,70.98158732422075,High,Service Risk,review planning assumptions and rebalance stock across warehouses,3967880.75,147670514.07
sku_warehouse,SKU-0016|WH-LIS,SKU-0016 @ WH-LIS,98.77907048817076,98.77907048817076,7.580680113046514,96.02684642340185,9.475850141308142,63.94865009921715,High,Service Risk,review reorder point and raise safety stock,1840818.24,18317359.62
sku_warehouse,SKU-0016|WH-MAD,SKU-0016 @ WH-MAD,99.5879398365351,99.5879398365351,6.292542397577577,96.02684642340185,7.865677996971971,63.78615284754513,High,Service Risk,review reorder point and raise safety stock,2420289.12,13457031.93
sku_warehouse,SKU-0016|WH-PORTO,SKU-0016 @ WH-PORTO,98.99626201031211,98.99626201031211,6.872359669280321,96.02684642340185,8.590449586600402,63.7546052152392,High,Service Risk,review reorder point and raise safety stock,1981186.32,15460607.07
sku_warehouse,SKU-0016|WH-LYON,SKU-0016 @ WH-LYON,98.96039891827458,98.96039891827458,5.830235720644959,96.02684642340184,7.287794650806198,63.30562675421826,High,Service Risk,review reorder point and raise safety stock,1957291.68,12047260.86
segment,Health | Portugal North,Health | Portugal North,71.90434921281934,73.90150635218885,52.224663369754154,70.24096906625958,38.33856877745035,62.65524909674376,High,Stockout Risk,raise safety stock for critical SKUs and protect promotion allocation,3286422.63,197778794.76
sku_warehouse,SKU-0048|WH-MAD,SKU-0048 @ WH-MAD,94.58370057732238,95.581320428439,7.232828396560952,98.25809170536029,9.04103549570119,62.45089709024439,High,Supplier Risk,investigate supplier reliability and qualify backup source,623920.5,16853904.69
segment,Health | Spain Central,Health | Spain Central,85.20647352229551,84.78357448871465,34.799962731306536,69.55117198558861,26.931901655689096,62.352584837872364,High,Service Risk,review planning assumptions and rebalance stock across warehouses,4698357.09,177630035.34
sku_warehouse,SKU-0003|WH-MAD,SKU-0003 @ WH-MAD,95.33015235981762,95.33015235981762,4.768026379062343,96.02684642340186,5.9600329738279285,61.19489646057127,High,Supplier Risk,investigate supplier reliability and qualify backup source,573089.28,9342476.78
sku_warehouse,SKU-0003|WH-PORTO,SKU-0003 @ WH-PORTO,95.0245275075101,95.0245275075101,4.687038776454956,96.02684642340186,5.858798470568694,61.02069917342775,High,Supplier Risk,investigate supplier reliability and qualify backup source,516789.12,9163104.34
sku_warehouse,SKU-0003|WH-LYON,SKU-0003 @ WH-LYON,94.8378829737694,94.8378829737694,4.3220175141443,96.02684642340185,5.402521892680375,60.7833588640481,High,Supplier Risk,investigate supplier reliability and qualify backup source,485162.88,8396443.38
sku_warehouse,SKU-0048|WH-LYON,SKU-0048 @ WH-LYON,90.65635650552389,94.32967185456596,6.046001569757126,98.25809170536029,7.557501962196407,60.740438693637095,High,Supplier Risk,investigate supplier reliability and qualify backup source,408517.2,12685837.08
sku_warehouse,SKU-0012|WH-MAD,SKU-0012 @ WH-MAD,93.48816516539932,93.6125081863727,2.7219742368160524,98.25809170536029,3.402467796020065,59.88282542183413,High,Supplier Risk,investigate supplier reliability and qualify backup source,320500.98,5724747.88
sku_warehouse,SKU-0029|WH-LYON,SKU-0029 @ WH-LYON,91.73843868567039,91.73843868567039,7.448086544404251,96.02684642340185,3.4192053077282973,59.830206736891654,High,Supplier Risk,investigate supplier reliability and qualify backup source,170000.85,5743126.44
sku_warehouse,SKU-0012|WH-LYON,SKU-0012 @ WH-LYON,92.9355025604946,92.9355025604946,2.0170871635059386,98.25809170536029,2.1024123059556112,59.25006449276037,High,Supplier Risk,investigate supplier reliability and qualify backup source,254887.91999999998,4463076.44
