supplier_id,lane_count,avg_lane_risk_score,total_lane_lost_sales
SUP-002,28,66.23035921656462,13544811.51
SUP-003,28,63.89821703242045,8188280.42
SUP-001,28,45.566380111266675,1728471.68
SUP-004,16,34.431227155359906,3556393.2499999995
SUP-005,20,31.94578063790566,3011273.29
SUP-007,24,29.64994448138621,2277829.7
SUP-006,20,26.449861196702,229378.01
SUP-008,28,19.345992840084243,1049118.81
SUP-010,20,16.263685178720717,164013.88
SUP-012,20,14.556063121340575,609289.65
SUP-009,20,9.838481298152711,246535.68
SUP-011,28,9.436718136476221,174312.07
