product_id,warehouse_id,supplier_id,category,region,service_risk_score,stockout_risk_score,excess_inventory_score,supplier_risk_score,working_capital_risk_score,governance_priority_score,risk_tier,main_risk_driver,recommended_action,fill_rate,stockout_rate,service_gap_rate,excess_day_rate,slow_moving_rate,dos_stretch,lost_sales_share,inventory_value_share,lost_sales_revenue,inventory_value_sum,product_name,sku_label
SKU-0016,WH-LIS,SUP-002,Health,Portugal South,98.77907048817076,98.77907048817076,7.580680113046514,96.02684642340184,9.475850141308142,63.94865009921715,High,Service Risk,review reorder point and raise safety stock,0.7560888693959786,0.2439111306040213,0.2418005235673853,0.0095759233926128,0.0,0.2390082079343365,0.0529279384015069,0.0061387563498281,1840818.24,18317359.62,Health Product 16,SKU-0016 | WH-LIS
SKU-0016,WH-MAD,SUP-002,Health,Spain Central,99.5879398365351,99.5879398365351,6.292542397577577,96.02684642340184,7.865677996971971,63.78615284754513,High,Service Risk,review reorder point and raise safety stock,0.6451676498688221,0.3548323501311778,0.3517515354635204,0.0041039671682626,0.0,0.1947428180574555,0.0695891156843368,0.0045098989114091,2420289.12,13457031.93,Health Product 16,SKU-0016 | WH-MAD
SKU-0016,WH-PORTO,SUP-002,Health,Portugal North,98.99626201031212,98.99626201031212,6.872359669280321,96.02684642340184,8.590449586600402,63.7546052152392,High,Service Risk,review reorder point and raise safety stock,0.6795174271706574,0.3204825728293425,0.3177476364974984,0.0095759233926128,0.0,0.2480369357045143,0.0569638572827636,0.0051813635694269,1981186.32,15460607.07,Health Product 16,SKU-0016 | WH-PORTO
SKU-0016,WH-LYON,SUP-002,Health,France South-East,98.96039891827458,98.96039891827458,5.830235720644959,96.02684642340184,7.287794650806198,63.30562675421826,High,Service Risk,review reorder point and raise safety stock,0.6530428883143554,0.3469571116856446,0.3439863578854722,0.0013679890560875,0.0,0.2089316005471956,0.0562768290870596,0.0040374377441174,1957291.68,12047260.86,Health Product 16,SKU-0016 | WH-LYON
SKU-0048,WH-MAD,SUP-003,Health,Spain Central,94.58370057732238,95.581320428439,7.232828396560952,98.25809170536029,9.04103549570119,62.45089709024439,High,Supplier Risk,investigate supplier reliability and qualify backup source,0.7966253101736973,0.2033746898263027,0.1933492009925558,0.0041039671682626,0.0013679890560875,0.3238362973096215,0.0179392104412423,0.0056483039358014,623920.5,16853904.69,Health Product 48,SKU-0048 | WH-MAD
SKU-0003,WH-MAD,SUP-002,Personal Care,Spain Central,95.33015235981762,95.33015235981762,4.768026379062343,96.02684642340186,5.9600329738279285,61.19489646057127,High,Supplier Risk,investigate supplier reliability and qualify backup source,0.7754233515554052,0.2245766484445948,0.2202381096529496,0.0341997264021887,0.0,0.3367216142270862,0.016477690980726,0.0031309746517029,573089.28,9342476.78,Personal Care Product 3,SKU-0003 | WH-MAD
SKU-0003,WH-PORTO,SUP-002,Personal Care,Portugal North,95.0245275075101,95.0245275075101,4.687038776454956,96.02684642340186,5.858798470568694,61.02069917342775,High,Supplier Risk,investigate supplier reliability and qualify backup source,0.7811874711405264,0.2188125288594736,0.2146103586270586,0.0410396716826265,0.0,0.3556922024623803,0.0148589263815252,0.0030708609820542,516789.12,9163104.34,Personal Care Product 3,SKU-0003 | WH-PORTO
SKU-0003,WH-LYON,SUP-002,Personal Care,France South-East,94.8378829737694,94.8378829737694,4.3220175141443,96.02684642340184,5.402521892680375,60.7833588640481,High,Supplier Risk,investigate supplier reliability and qualify backup source,0.7929650384906246,0.2070349615093754,0.2029083399585038,0.0136798905608755,0.0,0.327906976744186,0.0139495961466231,0.0028139273991579,485162.88,8396443.38,Personal Care Product 3,SKU-0003 | WH-LYON
SKU-0048,WH-LYON,SUP-003,Health,France South-East,90.65635650552387,94.32967185456596,6.046001569757126,98.25809170536029,7.557501962196407,60.740438693637095,High,Supplier Risk,investigate supplier reliability and qualify backup source,0.8153490420612199,0.18465095793878,0.1755112310063862,0.0246238030095759,0.0,0.3376497948016415,0.0117458490619671,0.0042514458712,408517.2,12685837.08,Health Product 48,SKU-0048 | WH-LYON
SKU-0012,WH-MAD,SUP-003,Household,Spain Central,93.48816516539932,93.6125081863727,2.7219742368160524,98.25809170536029,3.402467796020065,59.88282542183413,High,Supplier Risk,investigate supplier reliability and qualify backup source,0.7943468278233146,0.2056531721766854,0.1991710465268442,0.0451436388508891,0.0,0.3684302325581395,0.0092151716874896,0.0019185533902574,320500.98,5724747.88,Household Product 12,SKU-0012 | WH-MAD
SKU-0029,WH-LYON,SUP-002,Frozen,France South-East,91.7384386856704,91.7384386856704,7.448086544404251,96.02684642340184,3.4192053077282973,59.830206736891654,High,Supplier Risk,investigate supplier reliability and qualify backup source,0.7893604774455452,0.2106395225544548,0.2020895513344845,0.0971272229822161,0.0013679890560875,0.4277929776561787,0.0048879320736216,0.0019247126568898,170000.85,5743126.44,Frozen Product 29,SKU-0029 | WH-LYON
SKU-0012,WH-LYON,SUP-003,Household,France South-East,92.9355025604946,92.9355025604946,2.017087163505938,98.25809170536029,2.1024123059556112,59.25006449276037,High,Supplier Risk,investigate supplier reliability and qualify backup source,0.7856964708816561,0.2143035291183439,0.2076633464272353,0.0533515731874145,0.0,0.3750861833105335,0.0073286388823745,0.0014957253340106,254887.92,4463076.44,Household Product 12,SKU-0012 | WH-LYON
SKU-0037,WH-LYON,SUP-003,Frozen,France South-East,92.16556564809594,92.16556564809594,2.549467471003848,98.25809170536029,3.1868343387548097,59.17548387144837,High,Supplier Risk,investigate supplier reliability and qualify backup source,0.7815304497307682,0.2184695502692317,0.2097069545213236,0.0109439124487004,0.0,0.3123401732786137,0.0056479099905725,0.0018409426010472,196432.66,5493166.0,Frozen Product 37,SKU-0037 | WH-LYON
